iter	Passed	Remaining
0	152	152329
1	157	78676
2	162	54053
3	167	41725
4	169	33785
5	174	28941
6	179	25420
7	183	22730
8	188	20802
9	195	19322
10	199	17893
11	203	16715
12	208	15799
13	212	14951
14	215	14149
15	220	13570
16	224	12977
17	229	12507
18	232	12018
19	237	11629
20	242	11285
21	246	10936
22	250	10628
23	253	10321
24	257	10036
25	260	9754
26	263	9509
27	266	9268
28	269	9028
29	272	8801
30	274	8585
31	277	8382
32	279	8190
33	281	8005
34	283	7826
35	285	7654
36	287	7489
37	289	7330
38	291	7184
39	293	7039
40	294	6900
41	296	6764
42	298	6640
43	300	6523
44	302	6409
45	303	6298
46	305	6192
47	307	6091
48	308	5994
49	310	5899
50	312	5810
51	313	5723
52	315	5639
53	317	5559
54	319	5481
55	320	5410
56	322	5338
57	324	5268
58	325	5196
59	327	5129
60	329	5064
61	330	5002
62	332	4939
63	333	4879
64	335	4820
65	337	4770
66	338	4718
67	340	4670
68	343	4632
69	346	4597
70	348	4560
71	350	4520
72	352	4480
73	354	4440
74	356	4400
75	358	4362
76	360	4324
77	362	4288
78	364	4251
79	366	4214
80	368	4179
81	370	4143
82	371	4107
83	373	4073
84	375	4039
85	376	4003
86	378	3970
87	379	3937
88	381	3905
89	383	3874
90	384	3842
91	386	3813
92	387	3782
93	389	3754
94	391	3725
95	392	3698
96	394	3670
97	395	3643
98	397	3617
99	398	3590
100	400	3564
101	402	3539
102	403	3514
103	405	3490
104	406	3469
105	408	3446
106	410	3423
107	411	3400
108	413	3378
109	414	3356
110	416	3334
111	417	3313
112	419	3293
113	430	3343
114	432	3325
115	434	3309
116	436	3293
117	438	3276
118	440	3260
119	442	3241
120	443	3224
121	445	3206
122	447	3188
123	448	3170
124	450	3154
125	452	3137
126	453	3120
127	455	3103
128	457	3088
129	459	3072
130	460	3056
131	462	3040
132	464	3025
133	466	3012
134	468	3003
135	470	2991
136	472	2976
137	474	2961
138	475	2948
139	479	2944
140	481	2933
141	483	2922
142	485	2910
143	487	2897
144	489	2883
145	490	2870
146	492	2858
147	494	2845
148	496	2833
149	497	2820
150	499	2808
151	501	2796
152	503	2784
153	504	2772
154	506	2761
155	508	2749
156	510	2738
157	511	2726
158	513	2715
159	515	2704
160	516	2693
161	518	2682
162	520	2670
163	521	2659
164	523	2648
165	525	2638
166	527	2629
167	528	2619
168	530	2609
169	532	2598
170	533	2588
171	535	2578
172	537	2567
173	538	2557
174	540	2547
175	541	2536
176	543	2526
177	544	2516
178	546	2506
179	548	2496
180	549	2486
181	551	2477
182	552	2467
183	554	2459
184	556	2451
185	558	2442
186	559	2434
187	561	2424
188	562	2415
189	564	2406
190	565	2397
191	567	2388
192	569	2380
193	570	2371
194	572	2363
195	574	2355
196	575	2347
197	577	2339
198	579	2331
199	580	2322
200	582	2314
201	583	2306
202	585	2298
203	587	2290
204	588	2283
205	590	2274
206	591	2267
207	593	2259
208	594	2251
209	596	2243
210	597	2235
211	599	2228
212	601	2221
213	602	2213
214	604	2206
215	605	2199
216	607	2191
217	608	2184
218	610	2177
219	612	2170
220	614	2164
221	616	2159
222	618	2155
223	620	2149
224	622	2142
225	623	2136
226	625	2130
227	627	2125
228	629	2119
229	631	2113
230	633	2107
231	634	2101
232	636	2095
233	638	2089
234	639	2083
235	641	2077
236	643	2071
237	645	2066
238	647	2060
239	649	2055
240	650	2050
241	652	2044
242	654	2038
243	656	2033
244	658	2027
245	659	2022
246	661	2017
247	663	2012
248	665	2007
249	667	2001
250	669	1996
251	674	2001
252	676	1998
253	678	1993
254	680	1989
255	683	1986
256	685	1982
257	687	1978
258	689	1973
259	691	1968
260	693	1962
261	695	1957
262	697	1953
263	698	1948
264	700	1943
265	702	1939
266	704	1934
267	706	1929
268	708	1925
269	710	1920
270	712	1915
271	713	1910
272	715	1906
273	717	1901
274	719	1896
275	721	1891
276	722	1887
277	724	1882
278	726	1877
279	728	1872
280	730	1868
281	732	1863
282	733	1858
283	735	1853
284	736	1848
285	738	1842
286	739	1837
287	741	1832
288	742	1827
289	744	1822
290	746	1818
291	747	1813
292	749	1808
293	750	1803
294	752	1798
295	754	1793
296	755	1788
297	757	1783
298	758	1779
299	761	1775
300	763	1772
301	765	1769
302	767	1765
303	769	1760
304	770	1756
305	772	1751
306	774	1747
307	777	1746
308	780	1744
309	783	1743
310	785	1741
311	789	1741
312	792	1739
313	796	1739
314	797	1735
315	799	1730
316	801	1726
317	802	1722
318	804	1717
319	806	1713
320	807	1708
321	809	1704
322	811	1700
323	812	1696
324	814	1691
325	816	1687
326	817	1683
327	819	1679
328	821	1674
329	822	1670
330	824	1665
331	825	1661
332	827	1657
333	829	1653
334	830	1649
335	832	1645
336	834	1641
337	836	1637
338	837	1633
339	839	1629
340	840	1624
341	842	1620
342	843	1616
343	845	1612
344	847	1608
345	848	1604
346	850	1600
347	852	1596
348	853	1592
349	855	1588
350	857	1584
351	858	1581
352	860	1577
353	862	1573
354	864	1569
355	865	1566
356	867	1562
357	869	1559
358	871	1555
359	872	1551
360	874	1547
361	876	1544
362	877	1540
363	879	1536
364	881	1533
365	882	1529
366	884	1525
367	886	1521
368	887	1518
369	889	1514
370	891	1510
371	893	1507
372	895	1504
373	897	1501
374	899	1498
375	901	1495
376	902	1492
377	904	1488
378	906	1485
379	908	1481
380	910	1478
381	911	1475
382	913	1471
383	915	1468
384	917	1464
385	918	1461
386	920	1458
387	922	1454
388	923	1451
389	925	1447
390	927	1444
391	929	1441
392	930	1437
393	932	1434
394	934	1430
395	936	1427
396	937	1424
397	939	1421
398	941	1417
399	942	1414
400	944	1410
401	946	1407
402	948	1404
403	949	1401
404	951	1398
405	953	1394
406	954	1390
407	956	1387
408	957	1384
409	959	1380
410	960	1377
411	962	1373
412	964	1370
413	965	1367
414	967	1363
415	969	1360
416	970	1356
417	972	1353
418	973	1350
419	975	1346
420	976	1343
421	978	1339
422	979	1336
423	981	1333
424	983	1330
425	984	1326
426	986	1323
427	987	1320
428	989	1316
429	990	1313
